Date,LocationISOCode,Location,NewCases,NewDeaths,NewRecovered,NewActiveCases,TotalCases,TotalDeaths,TotalRecovered,TotalActiveCases,LocationLevel,CityorRegency,Province,Country,Continent,Island,TimeZone,SpecialStatus,TotalRegencies,TotalCities,TotalDistricts,TotalUrbanVillages,TotalRuralVillages,Area(km2),Population,PopulationDensity,Longitude,Latitude,NewCasesperMillion,TotalCasesperMillion,NewDeathsperMillion,TotalDeathsperMillion,CaseFatalityRate,CaseRecoveredRate,GrowthFactorofNewCases,GrowthFactorofNewDeaths
1,ID-BA,Bali,41,0,48,-7,3448,48,2924,476,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,9.72,817.80,0.00,11.38,1.39%,84.80%,0.87,1.00
1,ID-BT,Banten,23,0,12,11,1858,90,1366,402,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,2.15,173.28,0.00,8.39,4.84%,73.52%,0.68,0.00
1,ID-BE,Bengkulu,1,1,0,0,218,19,122,77,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,0.50,109.03,0.50,9.50,8.72%,55.96%,0.33,
1,ID-JK,DKI Jakarta,368,12,679,-323,21767,844,13883,7040,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,33.93,2006.89,1.11,77.82,3.88%,63.78%,0.86,0.86
1,ID-YO,Daerah Istimewa Yogyakarta,67,1,11,55,741,21,408,312,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.90,110.4448783,-7.89450185,18.45,204.08,0.28,5.78,2.83%,55.06%,1.05,
1,ID-GO,Gorontalo,142,1,45,96,1157,34,590,533,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,120.27,979.97,0.85,28.80,2.94%,50.99%,,
1,ID-JA,Jambi,6,0,0,6,168,4,115,49,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,1.72,48.09,0.00,1.15,2.38%,68.45%,1.00,1.00
1,ID-JB,Jawa Barat,61,0,19,42,6575,211,3983,2381,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,1.35,145.59,0.00,4.67,3.21%,60.58%,0.87,1.00
1,ID-JT,Jawa Tengah,143,15,300,-172,9659,639,5636,3384,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,3.93,265.62,0.41,17.57,6.62%,58.35%,0.61,1.88
1,ID-JI,Jawa Timur,240,21,462,-243,22324,1719,14917,5688,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,5.93,551.50,0.52,42.47,7.70%,66.82%,0.75,1.00
1,ID-KB,Kalimantan Barat,0,0,0,0,387,4,355,28,Province,,Kalimantan Barat,Indonesia,Asia,Kalimantan,UTC+07:00,,12,2,174,99,2031,147307,5422814,36.81,111.1211776,-0.086474572,0.00,71.37,0.00,0.74,1.03%,91.73%,0.00,1.00
1,ID-KS,Kalimantan Selatan,62,0,82,-20,6160,295,3449,2416,Province,,Kalimantan Selatan,Indonesia,Asia,Kalimantan,UTC+08:00,,11,2,153,144,1864,38744,4023049,103.84,115.4385783,-2.993594979,15.41,1531.18,0.00,73.33,4.79%,55.99%,0.48,0.00
1,ID-KT,Kalimantan Tengah,31,0,17,14,1760,91,1205,464,Province,,Kalimantan Tengah,Indonesia,Asia,Kalimantan,UTC+07:00,,13,1,136,139,1432,153565,2570289,16.74,113.4176536,-1.602484653,12.06,684.75,0.00,35.40,5.17%,68.47%,1.11,0.00
1,ID-KI,Kalimantan Timur,7,1,7,-1,1433,31,908,494,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,1.97,403.41,0.28,8.73,2.16%,63.36%,0.14,1.00
1,ID-KU,Kalimantan Utara,1,0,0,1,284,2,214,68,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1,53,35,447,75468,648407,8.59,116.2188791,2.891012621,1.54,438.00,0.00,3.08,0.70%,75.35%,0.33,1.00
1,ID-BB,Kepulauan Bangka Belitung,0,0,0,0,193,2,173,18,Province,,Kepulauan Bangka Belitung,Indonesia,Asia,Sumatera,UTC+07:00,,6,1,47,82,309,16424,1379767,84.01,106.5499324,-2.447444127,0.00,139.88,0.00,1.45,1.04%,89.64%,1.00,1.00
1,ID-KR,Kepulauan Riau,44,0,0,44,491,20,321,150,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,22.81,254.48,0.00,10.37,4.07%,65.38%,0.57,0.00
1,ID-LA,Lampung,0,0,0,0,255,12,195,48,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.70,105.0214366,-4.916792975,0.00,28.04,0.00,1.32,4.71%,76.47%,1.00,1.00
1,ID-MA,Maluku,31,0,44,-13,1124,23,743,358,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,16.78,608.52,0.00,12.45,2.05%,66.10%,,1.00
1,ID-MU,Maluku Utara,13,0,0,13,1553,50,328,1175,Province,,Maluku Utara,Indonesia,Asia,Maluku,UTC+09:00,,8,2,116,118,1063,31983,1307803,40.89,127.5391072,0.212036949,9.94,1187.49,0.00,38.23,3.22%,21.12%,,1.00
1,ID-NB,Nusa Tenggara Barat,0,0,0,0,2065,110,1288,667,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2,117,145,995,18572,5270247,283.77,117.5086257,-8.606998866,0.00,391.82,0.00,20.87,5.33%,62.37%,0.00,0.00
